# Z  N  sigma_alpha  n_bins  ipar
   54.00   77.00 -1.0000    15     5
# bin  dN_dat  sigma_dat  R_SM
    1  -2.1102000E-01   2.0630000E-01   1.0758949E-03
    2   9.2910000E-02   1.8583000E-01   9.9565586E-04
    3  -2.9449000E-01   1.8583000E-01   8.6411797E-04
    4   1.0394000E-01   1.4961000E-01   7.2257533E-04
    5   1.4173000E-01   1.3071000E-01   5.9348740E-04
    6  -1.7320000E-02   1.2756000E-01   4.8464229E-04
    7  -1.7323000E-01   1.2913000E-01   3.9488751E-04
    8   9.1340000E-02   1.0551000E-01   3.1918009E-04
    9  -1.4170000E-02   9.2910000E-02   2.5406437E-04
   10  -9.7640000E-02   9.2910000E-02   1.9877609E-04
   11   4.7240000E-02   6.9290000E-02   1.5313458E-04
   12  -4.0940000E-02   7.4020000E-02   1.1672999E-04
   13   9.4500000E-03   6.6140000E-02   8.8584174E-05
   14  -1.2600000E-02   6.7720000E-02   6.6470561E-05
   15   1.5118000E-01   5.5120000E-02   4.8983555E-05
